,name,gender,meanings
1457,Caren,g,pure
1458,Carha,u,a pillar stone
1459,Carilyn,g,manly
1460,Carilynne,g,manly
1461,Carine,g,pure
1462,Carl,u,"strong one,man. famous bearer: astronomer carl sagan.."
1463,Carlin,u,"small champion.,a man.,little champion"
1464,Carlotte,g,strong one
1465,Carlyn,g,small and womanly
1466,Carlynda,g,strong and beautiful
1467,Carlynn,g,"from carolyn, little and womanly."
1468,Carma,g,fate
1469,Carmen,u,"guard.,song,garden. the spanish form of the hebrew carmel. famous bearer: bizets opera carmen, first performed in 1875.."
1470,Carmia,g,song
1471,Carmine,u,"garden.,vine dresser.,song"
1472,Carmon,g,unique
1473,Carmya,g,song
1474,Carnation,g,flesh
1475,Caro,g,manly
1476,Carola,g,"song of happiness,joy.,strong. a feminine form of charles which originated in the 17th century.."
1477,Carolann,g,manly
1478,Carolanne,g,manly
1479,Carole,g,song of happiness
1480,Carolena,g,little and womanly
1481,Caroliana,g,manly
1482,Carolyne,g,manly
1483,Caron,g,"loving, kind"
1484,Carreen,g,a character in margaret mitchell her gone with the wind.
1485,Carrieann,g,gracious and womanly
1486,Carroll,u,"champion.,champion,man. famous bearer: late television actor carroll oconnor.."
1487,Carter,u,driver of a cart
1488,Cartimandua,g,name of a queen of brigantes.
1489,Cary,u,"from the fortress.,pure,from the castle. loving..,stream. cary became a popular masculine first name in mid-2oth century because of actor cary grant, whose real name was archibald leach.."
1490,Cashlin,g,vain
1491,Casimira,g,command for peace
1492,Cassandra,g,"prophet,cassandra was a trojan prophetess, daughter of king priam. this name became popular in medieval britain, and fashionable in the usa in the mid-2oth century.."
1493,Cassara,g,prophet
1494,Cassia,g,cinnamon
1495,Cassidy,u,"clever.,clever,curly-headed."
1496,Cassiopeia,g,mother of andromeda
1497,Cassondra,g,form of cassandra unheeded prophetess.
1498,Castalia,g,a mythological figure
1499,Caster,u,from the roman camp
1500,Catalin,g,"form of katherine.,pure"
1501,Catalyn,g,pure clear
1502,Catarine,g,pure
1503,Cate,g,pure
1504,Catherin,g,pure clear
1505,Catheryn,g,innocent
1506,Catheryna,g,pure clear
1507,Cathi,g,pure
1508,Cathia,g,pure
1509,Cathie,g,pure
1510,Cathiyn,g,pure clear
1511,Cathlin,g,pure clear
1512,Cathryn,g,"innocent,form of the greek catherine meaning pure.."
1513,Catia,g,pure clear
1514,Caton,g,pure
1515,Catori,g,"spriti,spirit (hopi)."
1516,Catrice,g,modern blend of catrina and patrice.
1517,Catrine,g,scandinavian form of katherine..
1518,Catylyn,g,form of katherine - pure
1519,Cauvery,g,"same as kaveri- name of a river.,same as kavery-name of a river"
1520,Ccri,u,"loved one,loved one."
1521,Cecania,g,free
1522,Cedrica,g,modern feminine of cedric
1523,Ceindrech,g,beautiful sight
1524,Ceinwen,g,"blessed and fair,beautiful gems."
1525,Celandia,g,the swallow
1526,Celandine,g,the swallow
1527,Celesse,g,heavenly
1528,Celeste,u,"from the heavens,this french name is based on the latin caelestis meaning heavenly. used as both a masculine and feminine name in france.."
1529,Celestia,g,heavenly
1530,Celestiel,g,heavenly
1531,Celestyn,g,heaven
1532,Celestyna,g,heavenly
1533,Celie,g,the blind one
1534,Celosia,g,buming
1535,Cendrillon,g,of the ashes
1536,Cerella,g,mistress
1537,Cermaka,g,robin
1538,Cestus,g,aphrodites girdle
1539,Ceyla,g,moon
1540,Chailyn,g,life
1541,Chairavali,g,full moon of chaitra month
1542,Chaitaly,g,name of an ancient city
1543,Chaitra,u,"aries sign,1st month in indian calendar, beginning"
1544,Chaka,g,"chakra, energy center,life."
1545,Chakaluka,g,brilliant energy
1546,Chakierra,g,wise
1547,Chakori,g,alert
1548,Chalsie,g,seaport
1549,Chameli,g,"flower,a creeper with flowers,creeper with sweet scented flower,jasmine flower"
1550,Chamelia,g,particular flower
1551,Chamkaur,u,battle field where guru gobind singh fought
1552,Chamomile,g,"peace, spice"
1553,Champakmala,g,"garland of champa flowers,a garland made of champa flowers"
1554,Champavati,u,"angaraj`s karna`s capital,the daughter of an ancient king 'raja sahil verma'"
1555,Chanchal,u,active
1556,Chanchari,g,"bird, vortex of water,"
1557,Chandan,u,"sandalwood,sandlewood,of the sandalwood tree; scented wood; sandalwood"
1558,Chandana,g,"sandal wood,sandal wood, parrot"
1559,Chandani,g,"star,star, moon- light"
1560,Chandara,g,of the moon
1561,Chandini,g,"star,moon light"
1562,Chandira,g,moon
1563,Chandler,u,"candle maker,maker of candles."
1564,Chandrabhaga,u,"river chenab,river chenab in india"
1565,Chandrajyoti,g,moon- light
1566,Chandrakala,g,"phases of the moon,beams of the moon"
1567,Chandrakali,g,1/16th of the moon
1568,Chandrakanti,g,moon light
1569,Chandraki,g,peacock
1570,Chandrani,g,wife of the moon
1571,Chandraprabha,g,"star, moon light"
1572,Chandrapushpa,g,star
1573,Chandria,g,of the moon
1574,Chandrima,g,"moon,the moon"
1575,Chanel,g,the name of a famous perfume.
1576,Chanell,g,"canal, channel the popular perfume chanel."
1577,Chanelle,g,"canal, channel the popular perfume chanel."
1578,Changla,g,active
1579,Channary,g,full moon
1580,Channelle,g,"canal, channel the popular perfume chanel."
1581,Channer,u,wise
1582,Channery,g,wise
1583,Channing,u,"wise,young wolf.,member of the bishops council.."
1584,Channon,u,"young wolf.,clergyman - canon"
1585,Chantae,g,singer
1586,Chantal,g,rocky land or song
1587,Chantalle,g,singer
1588,Chantay,g,singer
1589,Chante,g,singer
1590,Chantel,g,rocky land or singer
1591,Chantell,g,singer
1592,Chantelle,g,singer
1593,Chanton,g,we sing
1594,Chantoya,g,praised woman
1595,Chantrea,g,moon
1596,Chantrell,g,singer
1597,Chantry,u,singer
1598,Chapa,g,superior
1599,Chapawee,g,industrious
1600,Chara,g,quiet and frisky
1601,Charisma,g,"personal power, attraction."
1602,Charlaine,g,feminine of charles meaning manly.
1603,Charlee,g,"farmer,modern form of charles: manly.."
1604,Charleen,g,fem- charles
1605,Charleena,g,feminine of charles meaning manly.
1606,Charlena,g,feminine of charles meaning manly.
1607,Charlene,g,"from the name charles,feminine of charles meaning manly.."
1608,Charles,u,"manly.,manly, farmer,man (from the old english ceorl). famous bearers: american movie star charles bronson; british prince charles; evolutionist charles darwin.."
1609,Charli,g,modern form of charles meaning manly.
1610,Charlisa,g,feminine of charles meaning manly.
1611,Charlise,g,womanly
1612,Charlize,g,womanly
1613,Charly,u,modern form of charles meaning manly.
1614,Charlyn,g,modern form of charles meaning manly.
1615,Charlynn,g,modern form of charles meaning manly.
1616,Charmain,g,"modern form of charles, manly.,one of cleopatras attendants in shakespeares antony and cleopatra was named charmian.."
1617,Charmaine,g,"song.,bountiful orchard,song"
1618,Charmian,g,sweet-natured sentimental attractive.
1619,Charu,g,"beautiful attractive,beautiful, attractive,beautiful, attractive, kumkum, saffron,beautiful; attractive"
1620,Charumathi,g,one with beatiful mind
1621,Charumati,g,"daughter of buddha,a beautiful lady"
1622,Charunetra,g,one with beautiful eyes
1623,Charusheela,g,beautiful jewel
1624,Charushila,g,a diamond
1625,Charvi,g,"beautiful.,beautiful,lovely; a beautiful woman"
1626,Chase,u,hunter
1627,Chashmum,g,my eyes
1628,Chassidy,g,not available
1629,Chatlie,g,modern form of charles meaning manly.
1630,Chatura,u,"clever,smart, wise"
1631,Chaundra,g,of the moon
1632,Chaunta,g,one who outshines the stars
1633,Chaunte,g,"singer,to sing"
1634,Chauntel,g,singer
1635,Chavi,g,female child
1636,Chayla,g,
1637,Chaylse,g,seaport
1638,Chelan,g,beautiful lake
1639,Chellakili,g,precious
1640,Chellakumari,g,precious girl
1641,Chellam,g,precious
1642,Chellammal,g,precious girl
1643,Chelsa,g,harbor
1644,Chelsea,g,port of ships
1645,Chelsee,g,"place name, a london district."
1646,Chelsey,u,port of ships
1647,Chelsi,g,"seaport,place name; a london district.."
1648,Chelsia,g,from chelsea
1649,Chelsie,g,"place name, a london district."
1650,Chelsy,g,"place name, a london district."
1651,Chemmani,u,"precious gem,flawless gem"
1652,Chenelle,g,"canal, channel the popular perfume chanel."
1653,Chepi,g,"fairy,fairy (algonquin)."
1654,Cher,g,beloved
1655,Cherese,g,"blend of cherie and cerise dear one, darling."
1656,Cheresse,g,"blend of cherie and cerise dear one, darling."
1657,Cheri,g,from the name cheryl
1658,Cherice,g,"blend of cherie and cerise dear one, darling."
1659,Cherie,g,"beloved,from the french cheri meaning darling.."
1660,Cherisa,g,"blend of cherie and cerise dear one, darling."
1661,Cherise,g,"cherry,blend of cherie and cerise: dear one; darling.."
1662,Cherisse,g,"blend of cherie and cerise dear one, darling."
1663,Cherlin,g,from cher and lin
1664,Cherri,g,the fruit-bearing cherry tree.
1665,Cherrie,g,the fruit-bearing cherry tree.
1666,Cherrill,g,the fruit-bearing cherry tree.
1667,Chesna,g,"bringing peace, calm"
1668,Chesney,g,peaceful
1669,Chessa,g,peaceful
1670,Chessie,g,at peace
1671,Chester,u,"a fortress, camp"
1672,Chetan,u,"soul, awareness.,consciousness, life,life, living creature,perceptive; consciousness; life; excellent intelligence"
1673,Chetana,g,consciousness
1674,Chetna,g,"power of intellect; alert,awakening; consciousness"
1675,Chevelle,g,bold and beautiful
1676,Chhabi,g,description; picture
1677,Chhavi,g,"reflection,image, radiance"
1678,Chhavvi,g,"image radiance,image, radiance"
1679,Chhaya,g,"shadow,gloominess"
1680,Chick,u,from the name charles
1681,Chickoa,g,daybreak
1682,Chilali,g,snowbird
1683,Chilam,g,"snowbird,snowbird."
1684,Chilli,u,cold
1685,Chimalis,g,"bluebird,bluebird."
1686,Chinnamal,g,little girl
1687,Chintamani,u,"philosopher's stone, a wishing stone ( gem ),"
1688,Chira,g,
1689,Chiranjivi,g,"one who has a long life, without end.."
1690,Chithirai,g,name of the first thamil month
1691,Chitra,g,"picture a nakshatra,picture, a nakshatra,picture, 14th nakshatra, a raagini,picture; drawing; a nakshatra; name of a river"
1692,Chitragandha,g,a fragrant material
1693,Chitrakshi,g,colourful eyes
1694,Chitrali,g,line of pictures
1695,Chitrangada,g,name of arjun's wife
1696,Chitrani,g,"river ganga,river ganga in india"
1697,Chitrathi,g,a bright chariot
1698,Chitsa,g,"fair,fair."
1699,Chitta,g,
1700,Chloris,g,pale
1701,Chochmingwu,g,"corn mother,corn mother (hopi)."
1702,Chokkammal,g,
1703,Chokki,g,
1704,Cholai,u,",garden"
1705,Cholaiyammal,g,garden girl
1706,Chole,g,flowering
1707,Cholena,g,"bird,bird."
1708,Chosovi,g,"bluebird,bluebird (hopi)."
1709,Chosposi,g,"bluebird eye,bluebird eye (hopi)."
1710,Chriselda,g,strong
1711,Chrisha,g,truth and nobel
1712,Chrislaure,g,brave
1713,Christa,g,"christ bearer,servant of christ."
1714,Christian,u,"of the christian faith,servant of christ."
1715,Christiana,g,"christian, christ-bearer"
1716,Christiane,g,follower of christ
1717,Christianna,g,same as christina
1718,Christie,u,"a follower of christ,christian.,diminutives of any masculine or feminine name begining with christ-, for example christahel, christian, or christopher.."
1719,Christmas,u,mass for christ
1720,Christopher,u,"christ-bearer,he who holds christ in his heart. famous bearers: actors christopher plummer and christopher walken; explorer christopher columbus.."
1721,Chroma,g,color
1722,Chryseis,g,prisoner of agamemnon
1723,Chrysilla,g,golden-haired
1724,Chrysta,g,gold or golden annointed one a christian.
1725,Chrystie,g,"anointed one, a christian"
1726,Chudar,u,brilliant
1727,Chumani,g,dew drop
1728,Churni,g,the name of a river
1729,Chusi,g,snake maiden (hopi)
1730,Cicada,g,loud insect of the night
1731,Ciel,g,"from heaven, heavenly"
1732,Cienfuegos,u,one hundred fires
1733,Cili,g,blind
1734,Cinderella,g,"of the ashes.,girl by the cinders,little cinder girl. the name of a fairy-tale heroine.."
1735,Cindy,g,"from the name cynthia,dimunitive of cynthia, lucinda, and cinderella.."
1736,Cinnabar,g,a mineral
1737,Cintia,g,a portuguese version of the greek name cynthia..
1738,Cinyras,g,founded the cult of aphrodite.
1739,Cirilla,g,"mistress, lady feminine of cyril."
1740,Clady,g,lame
1741,Claefer,g,clover
1742,Claennis,g,purity
1743,Claire,u,"clear, bright"
1744,Clara,u,"clear, bright,bright."
1745,Claral,g,"clear, bright"
1746,Clare,u,"clear,bright."
1747,Claresta,g,brilliant
1748,Clarette,g,clear
1749,Clariee,g,clear
1750,Clarimond,g,brilliant protectress
1751,Clarimonda,g,brilliant protectress
1752,Clarimonde,g,brilliant protector
1753,Clariss,g,clear
1754,Clarisse,g,"bright, shining and gentle, famous."
1755,Claudelle,g,"feminine of claude,feminine of claude."
1756,Claudette,g,"feminine of claude.,lame"
1757,Cleantha,g,"glory.,in praise of flowers"
1758,Clem,u,from the name clement
1759,Clemance,g,merciful
1760,Clematis,g,a climbing plant a flower name.
1761,Cleopatra,g,"glory of the father,ancient egyptian for queen.."
1762,Cleta,g,of cleopatra
1763,Cleva,g,dwells at the cliffs
1764,Clever,u,smart one
1765,Cliantha,g,a glorious flower
1766,Clianthe,g,glory
1767,Clifford,u,from a steep cliff
1768,Clodia,g,form of claudia
1769,Clorinda,g,of renowned beauty
1770,Clotho,g,a fate
1771,Clotild,g,renowned for war
1772,Clotilda,g,heroine
1773,Clotilde,g,heroine
1774,Clove,u,"a nail, spice"
1775,Clover,g,meadow flower
1776,Clymena,g,mother of atalanta
1777,Clymene,g,renowned
1778,Clyte,g,a water nymph
1779,Clytemnestra,g,murdered agamemnon
1780,Cocheta,g,"that you cannot imagine,stranger."
1781,Codee,g,"helpful,helpful."
1782,Codi,u,"cushion helpful,helpful."
1783,Codier,g,cushion
1784,Cody,u,"a cushion,helpful."
1785,Codyr,g,cushion
1786,Colby,u,"one who has dark hair.,dark haired"
1787,Colesha,g,love of the light beauty of the world.
1788,Coletta,g,victorious
1789,Colette,g,the peoples victory
1790,Coligny,g,cologne
1791,Colista,g,most beautiful
1792,Colletta,g,victorious
1793,Columbine,g,"dove.,dove versatile loving emotional."
1794,Colwyn,u,"welsh river,name of a river in wales."
1795,Comfort,g,"to strengthen greatly,strength."
1796,Comforte,g,strength
1797,Concetta,g,"reference to the immaculate conception.,from the latin cencepta, meaning conceived, a reference to the immaculate conception.."
1798,Conradine,g,bold
1799,Consolata,g,"consolation.,consolation"
1800,Constance,g,"constant,constancy; steadfastness. .."
1801,Constancia,g,"constancy, steadfastness,constancy; steadfastness. .."
1802,Constansie,g,"constancy, steadfastness"
1803,Constantia,g,"constancy; steadfastness.,constancy, steadfastness"
1804,Constanza,g,"constancy; steadfastness.,constant"
1805,Constanzie,g,"constancy, steadfastness"
1806,Content,g,"satisfied, happy"
1807,Coorah,g,a woman
1808,Cora,u,"maiden.,heart, maiden,seething pool."
1809,Coral,g,reef formation
1810,Coralee,g,maiden
1811,Coralia,g,"maiden.,like coral"
1812,Coralin,g,from the coral of the sea
1813,Coralyn,g,maiden
1814,Corbin,u,"raven-haired.,a raven"
1815,Corby,u,"dark as a raven,raven-haired."
1816,Cordelia,g,"of the sea.,daughter of the sea,jewel of the sea."
1817,Corella,g,maiden
1818,Corentine,g,little cora
1819,Corette,g,little maiden
1820,Corey,u,"hill hollow.,ravine.,strong and lively,seething pool.,from the round hill or hollow..."
1821,Coriander,u,"romance, spice"
1822,Corine,g,from the name corinne
1823,Corinna,g,maiden
1824,Corinne,g,"maiden,maiden. the french form of corinna, now the more common form of the name in the english-speaking world.."
1825,Corinthia,g,from corinth
1826,Corlene,g,maiden
1827,Corliss,u,from the name carl
1828,Corona,g,kind
1829,Coronis,g,mother of aesculapius
1830,Corowa,g,a rocky river
1831,Corsen,g,"reed,reed."
1832,Cortney,u,"courtly, courteous,courtly; courteous. ."
1833,Cory,u,"hill; hollow.,hollow,seething pool."
1834,Cosette,g,victorious people
1835,Cosima,g,universe
1836,Cosimia,g,of the universe
1837,Cosma,g,of the universe
1838,Cossette,g,of the victorious
1839,Courtlyn,g,"courtly, courteous,courtly; courteous. ."
1840,Courtnie,g,courtly or courteous
1841,Coye,u,woods
1842,Cragen,g,"shell,shell."
1843,Creda,g,faith
1844,Cree,u,tribe name
1845,Creiddylad,g,"jewel of the sea,jewel of the sea."
1846,Creissant,g,to create
1847,Creola,u,"native to the land, creole."
1848,Crescent,u,"to grow,to create."
1849,Cressida,g,the golden one
1850,Criseyde,g,"old english form of the greek cressida, used by chaucer.."
1851,Crista,g,"christ bearer,appointed one. a christian.."
1852,Cristine,g,"follower of christ.,follower of christ"
1853,Cruella,g,"evil, cruel"
1854,Crysta,g,"anointed one, a christian"
1855,Csilla,g,"defender.,protection"
1856,Cybele,g,mother
1857,Cybil,g,soothsayer
1858,Cybill,g,soothsayer
1859,Cybille,g,soothsayer
1860,Cyma,g,flourish
1861,Cymberly,g,from the royal meadow
1862,Cymreiges,g,"welsh woman,welsh woman."
1863,Cynara,g,from the island of zinara
1864,Cyneburhleah,g,from the royal meadow
1865,Cynere,g,an artichoke or thistle
1866,Cynthia,u,the moon personified
1867,Cynzia,g,the moon personified
1868,Cypriana,g,a woman from cyprus
1869,Cyprien,g,cypriot
1870,Cypris,g,from cyprus
1871,Cyrilla,g,"mistress, lady feminine of cyril."
1872,Cyst,g,best
1873,Cythera,g,from cythera
1874,Cyzarine,g,royalty
1875,Czigany,g,gypsy
1876,Dacey,u,"of the nobility.,southerner.,down below"
1877,Daedbot,g,penance
1878,Dael,u,"small valley.,lives in the valley"
1879,Daesgesage,g,days eye
1880,Daeva,g,evil spirit
1881,Daffodil,g,yellow flower
1882,Dagan,u,"grain of corn,a name of hebrew origin, meaning grain..,earth; grain. little fish.."
1883,Dagian,g,dawn
1884,Dagomar,g,glorious day
1885,Dahlia,g,flower named for botanist
1886,Daisey,g,days eye a flower name
1887,Daisi,g,"days eye. a flower name.,daisy"
1888,Daisie,g,days eye a flower name
1889,Daisy,u,"daisy flower,days eye, from the old english. also a flower name. also a translation of the french marguerite, and used as a pet form of margaret. the use of daisy in the chorus of the song a bicycle built for two made the name daisy famous.."
1890,Daivya,g,divine.
1891,Daiyu,g,black-colored jade.
1892,Daizy,g,days eye a flower name
1893,Dakin,g,danish
1894,Dakota,u,"native american tribal name.,friend; ally. tribal name.."
1895,Dalaja,g,honey
1896,Dali,g,
1897,Dalia,g,"gentle. (tanzanian).,a branch, bough"
1898,Dalla,g,"mother of kormak,luminosity, brilliance (light).."
1899,Dalr,g,from the valley
1900,Dalva,u,valley
1901,Daly,u,"small valley,counselor.,gather together."
1902,Damalis,g,one who gentles
1903,Damyanti,g,"beautiful,nala's wife; beautiful"
1904,Danifa,g,morning star
1905,Dannica,g,morning star
1906,Danrelle,g,hidden
1907,Danylynn,g,variations of daryl meaning dearly loved.
1908,Daphne,g,"laurel tree,victory."
1909,Daralis,u,beloved
1910,Darcel,u,"dark,dark."
1911,Darcell,u,"dark,dark."
1912,Darcelle,g,"dark,dark."
1913,Darchelle,g,"dark,dark."
1914,Darda,g,dart
1915,Dareen,g,"dark,wise. feminine form from the male dara, a biblical descendant of judah known for his wisdom.."
1916,Darel,u,tenderly loved
1917,Darelene,g,tenderly loved
1918,Darelle,g,tenderly loved
1919,Darena,g,famous and loved
1920,Darla,g,"dear, loved one"
1921,Darleane,g,"from the old english dearling, darling."
1922,Darleen,g,"from the old english dearling, darling."
1923,Darleena,g,"from the old english dearling, darling."
1924,Darlena,g,"from the old english dearling, darling."
1925,Darlene,g,"little darling,darling. from the old english dearling.."
1926,Darnell,u,hidden nook
1927,Darnisha,g,hidden
1928,Darolyn,g,variations of daryl meaning dearly loved.
1929,Darpana,g,"mirror,a mirror"
1930,Darrellyn,g,variations of daryl meaning dearly loved.
1931,Darrene,g,the great one
1932,Darrill,u,variations of daryl meaning dearly loved.
1933,Darryll,u,variations of daryl meaning dearly loved.
1934,Darshana,g,"seeing.,observation"
1935,Darva,g,honey bee
1936,Daryl,u,"dear, beloved,darling, dearly loved, from the old english deorling.."
1937,Darylene,g,variations of daryl meaning dearly loved.
1938,Daryll,u,variations of daryl meaning dearly loved.
1939,Darylyn,g,variations of daryl meaning dearly loved.
1940,Daryn,u,"great.,gift"
1941,Darynn,g,gift
1942,Darynne,g,gift
1943,Daveen,g,beloved feminine of david.
1944,Davia,g,beloved feminine of david.
1945,Davianna,g,beloved feminine of david.
1946,Davine,g,beloved feminine of david.
1947,Davonna,g,beloved feminine of david.
1948,Davynn,g,beloved feminine of david.
1949,Dawnelle,g,"the first appearance of daylight, daybreak."
1950,Dawnetta,g,"the first appearance of daylight, daybreak."
1951,Dawnette,g,"the first appearance of daylight, daybreak."
1952,Dawnielle,g,"the first appearance of daylight, daybreak."
1953,Daya,u,"kindness mercy pity,mercy,kindness, mercy, pity,grace, kindness, pity, mercy"
1954,Dayle,u,lives in the valley small valley.
1955,Daysi,g,days eye a flower name
1956,Dayton,u,"bright and sunny town,a town that is full of sunshine.."
1957,Daytona,g,speedy
1958,Deandra,g,"from the name diana,blend of deanne: (divine) plus variants of andrea: (masculine) and sandra: (protector of man. ).."
1959,Deandrea,g,blend of deanne: (divine) plus variants of andrea: (masculine) and sandra: (protector of man. )..
1960,Deandria,g,blend of deanne: (divine) plus variants of andrea: (masculine) and sandra: (protector of man. )..
1961,Debjani,g,
1962,Debriana,g,beautiful and longed for
1963,Deepa,g,"a lamp,lamp,lamp; light"
1964,Deepakala,g,"evening time,evening time (time to light lamps)"
1965,Deepal,g,light
1966,Deepali,g,"collection of lamps,row of lamps; collection of lamps"
1967,Deepaprabha,g,light of lamps
1968,Deepon,g,
1969,Deepta,g,"luminous, glowing, bright"
1970,Deepti,g,"glow shine,glow, shine"
1971,Deeptimoyee,g,lustrous
1972,Deetya,g,answer of prayers
1973,Defena,g,from devonshire
1974,Deianira,g,wife of heracles
1975,Deiondre,u,"valley.,valley"
1976,Deja,g,to have been here before
1977,Delbin,g,"dolphin, flower name"
1978,Delbine,g,flower
1979,Delfine,g,from delphi
1980,Delit,g,pleasure
1981,Dell,u,"valley.,noble"
1982,Delling,u,fascinating
1983,Delma,u,"noble protector,of the sea."
1984,Delmar,u,"mariner,mariner.,of the sea."
1985,Delmare,g,of the sea
1986,Delmi,g,noble protector
1987,Delmira,g,noble protector
1988,Delmy,g,noble protector
1989,Delta,g,mouth of a river
1990,Demas,g,popular
1991,Demeka,g,friendly
1992,Demelza,g,fortified
1993,Demeter,g,lover of the earth
1994,Demos,g,popular
1995,Denali,g,great one
1996,Dendera,g,from dendera
1997,Deneen,g,combination of deana (divine) and dina (from the valley; avenged)..
1998,Denica,g,combination of deana (divine) and dina (from the valley; avenged)..
1999,Denice,g,feminine of denis or denys from the greek name dionysus. ..
2000,Deniece,g,feminine of denis from the greek name dionysus.
2001,Denim,u,strong cloth
2002,Denisha,g,feminine of denis from the greek name dionysus.
2003,Denissa,g,feminine of denis from the greek name dionysus.
2004,Denisse,g,feminine of denis from the greek name dionysus.
2005,Deniz,u,the sea
2006,Dennise,g,feminine of denis from the greek name dionysus. ..
2007,Denyse,g,feminine of denis from the greek name dionysus.
2008,Dereka,g,gifted ruler modern feminine of derek.
2009,Derica,g,"beloved leader,gifted ruler. modern feminine of derek.."
2010,Dericka,g,gifted ruler modern feminine of derek.
2011,Derrica,g,gifted ruler modern feminine of derek.
2012,Derring,u,bold
2013,Derwen,g,"from the oak tree,from the oak tree."
2014,Deryn,g,"bird from the word aderyn,bird. from the word aderyn.."
2015,Desdemona,g,of the devil
2016,Desideria,g,"desired,desire."
2017,Desirat,g,desired
2018,Desma,g,"pledge, bond"
2019,Desmona,g,unlucky
2020,Desna,g,offering
2021,Dessa,g,roaming
2022,Desta,u,happiness
2023,Deva,u,"divine one.,dignity"
2024,Devakali,g,name of a indian music raagini
2025,Devakiri,g,name of a raagini
2026,Devana,g,"divine,divine."
2027,Devani,g,
2028,Devanna,g,"divine,divine."
2029,Devanshi,u,"angel,divine"
2030,Devayani,g,daughter of shukra
2031,Devin,u,"poet.,poet,divine; perfect.,servant."
2032,Devkanya,g,divine damsel
2033,Devona,g,"divine one.,protector,divine."
2034,Devondra,g,"divine.,divine"
2035,Devonna,g,"divine,divine."
2036,Devonne,g,"divine,divine."
2037,Devrim,u,revolution
2038,Devyna,g,from devonshire
2039,Devynn,g,"divine,divine."
2040,Deysi,g,days eye a flower name
2041,Dezba,g,going to war
2042,Dhanashri,g,name of a raagini
2043,Dhanishta,g,name of a nakshatra
2044,Dhanvanti,g,holding wealth
2045,Dhanvi,g,money
2046,Dhanyata,g,"success fulfilment,success, fulfilment,success, fulfillment"
2047,Dharani,g,earth
2048,Dharini,g,earth
2049,Dharitri,g,the earth
2050,Dharmista,g,
2051,Dharnitha,g,earth
2052,Dharti,g,"the earth,earth"
2053,Dharuna,u,"a rishi,supporting"
2054,Dheeksha,g,initiation
2055,Dhlriti,g,"courage, morale"
2056,Dhriti,g,"courage morale,patience,courage, morale"
2057,Dhruti,g,motion
2058,Dhruvi,g,firm
2059,Dhuti,g,
2060,Diahann,g,"day,divine. mythological ancient roman divinity diana was noted for beauty and swiftness; often depicted as a huntress. also diana princess of wales.."
2061,Diamanda,g,of high value; brilliant. the precious diamond stone..
2062,Diamanta,g,diamond
2063,Diamante,g,"diamond,of high value; brilliant. the precious diamond stone.."
2064,Diamond,u,brilliant gem
2065,Diamonique,g,"of high value, brilliant the precious diamond stone."
2066,Dianda,g,blend of deanne (divine) plus variants of andrea (masculine) and sandra (protector of man. )..
2067,Diandra,g,"rare and divine flower,blend of deanne (divine) plus variants of andrea (masculine) and sandra (protector of man. )..,divine. mythological ancient roman divinity diana was noted for beauty and swiftness; often depicted as a huntress. also diana princess of wales.."
2068,Diandre,u,"bridge protector,blend of dion and andre."
2069,Diantha,g,"divine flower,modern blend of diana (divine huntress) and anthea (flower).."
2070,Dice,g,justice
2071,Dicra,g,"slow,slow."
2072,Dido,g,the name of a queen of carthage.
2073,Diederik,u,ruler of the people
2074,Diep,g,not available
2075,Dierdre,g,"sorrowful,dark."
2076,Difyr,g,"amusing,amusing."
2077,Dijana,g,princess
2078,Dike,g,justice
2079,Dikeledi,g,tears
2080,Diksha,g,initiation
2081,Dilraj,g,ruler of hearts
2082,Dimitra,g,from demeter
2083,Dimity,g,from the cotton material
2084,Dinora,g,"sister of the gorgons,avenged. judged and vindicated. famous bearer: biblical dinah, jacobs only daughter..,form of hebrew dinah. judged and vindicated. in the bible dinah was jacobs only daughter.."
2085,Dinorah,g,"avenged. judged and vindicated. famous bearer: biblical dinah, jacobs only daughter.."
2086,Dionyza,g,pericles prince of tyre wife to cleon.
2087,Dipali,g,"lamps,row of lamps; collection of lamps"
2088,Dipan,g,
2089,Dipashri,g,lamp
2090,Dipti,g,brightness
2091,Disa,g,double
2092,Diss,g,spirited
2093,Diti,g,daughter of daksha
2094,Ditte,g,danish pet form of edith or dorothea..
2095,Divvjyot,g,
2096,Divya,g,"divine brilliance,divine, heavenly, brilliant,heavenly, brilliant, extraordinary,divine; divine lustre; heavenly; brilliant"
2097,Divyana,g,divine
2098,Divyanshi,g,part of a divine power
2099,Doba,g,there was no war
2100,Dobrila,g,"kind, good"
2101,Doda,g,aunt
2102,Dodie,g,american compound of dorothy and anna.
2103,Dogg,g,dew
2104,Dohtor,g,daughter
2105,Doli,g,blue bird
2106,Domitilla,g,tamed
2107,Donalda,g,"rules all.,the ruler of the world,feminine form of donald: from the gaelic domhnall, meaning world mighty. famous bearer: walt disneys cartoon character donald duck.."
2108,Donatella,g,beautiful gift
2109,Donella,g,"dark - haired elfin girl.,dark - haired elfin girl,lady. from the respectful title donna.."
2110,Donelle,g,"world leader,lady. from the respectful title donna.."
2111,Donetta,g,lady from the respectful title donna.
2112,Donielle,g,lady from the respectful title donna.
2113,Donisha,g,lady from the respectful title donna.
2114,Donnalee,g,lady from the respectful title donna.
2115,Donnalyn,g,lady from the respectful title donna.
2116,Donoma,g,sight of the sun
2117,Doralia,g,gift
2118,Doralice,g,gift
