,name,gender,origin,meaning,url
5074,Bertild,Female,Germany,commanding battle maiden,
5075,Bertilda,Female,England,shining battlemaid,
5076,Bertilde,Female,England,shining battlemaid,
5077,Bertille,Female,France,heroine,
5078,Bertina,Female,Germany,intelligent,
5079,Bertine,Female,Germany,intelligent maiden,
5080,Berto,Male,Spain,intelligent,
5081,Bertok,Male,Germany,shining raven,
5082,Berton,Male,England,from the fortified town,
5083,Bertrade,Female,England,bright counselor,
5084,Bertram,Male,Germany,bright,
5085,Bertuska,Female,Hungary,brave,
5086,Bertwin,Male,Germany,shining friend,
5087,Beruriah,Female,Hebrew,Selected by God.,
5088,Beruriah,Female,Israel,selected by god,
5089,Berwick,Male,England,from the barley grange,
5090,Berwin,Male,England,harvest-time friend,
5091,Berwyk,Male,England,from the barley grange,
5092,Beryan,Female,Scotland,the name of a saint,
5093,Beryl,Female,Greece,green jewel,
5094,Bes,Male,Egypt,brings joy,
5095,Besa,Female,Albania,faith,
5096,Besai,Female,Israel,a despising dirty,
5097,Beshiltheeni,Male,Native American,metalworker,
5098,Besim,Male,Albania,faith,
5099,Besnik,Male,Albania,loyal,
5100,Besodeiah,Male,Israel,counsel of the lord,
5101,Bess,Female,Israel,from the name elizabeth,
5102,Bessie,Female,Israel,consecrated to god,
5103,Bessy,Female,England,diminutive of elizabeth,
5104,Bestandan,Male,England,stands beside,
5105,Bestla,Female,Norway,mother of odin,
5106,Besyrwan,Male,England,ensnares,
5107,Beta,Female,Czech-Republic,dedicated to god,
5108,Betah,Female,Israel,confidence,
5109,Betelgeuse,M or F,France,hunters shoulder,
5110,Beten,Female,Israel,belly,
5111,Beth,Female,Israel,from the name elizabeth,
5112,Beth,M or F,Scottish,Lively.,
5113,Beth-Haran,Male,Israel,house of grace,
5114,Beth-Horon,Male,Israel,house of wrath,
5115,Beth-Lehem,Male,Israel,house of bread,
5116,Betha,Female,Celtic,Life.,
5117,Betha,Female,Ireland,life,
5118,Bethan,Female,England,consecrated to god,
5119,Bethany,Female,Israel,life-town near jerusalem,
5120,Bethea,Female,Hebrew,Maid-servant of Jehovah.,
5121,Bethea,Female,Israel,maid-servant of jehovah,
5122,Bethel,Female,Jewish,house of god,
5123,Betheli,Female,Hebrew,House of God.,
5124,Betheli,Female,Israel,house of god,
5125,Bethesda,Female,Israel,house of mercy,
5126,Bethia,Female,Israel,maid-servant of jehovah,
5127,Bethiar,Female,England,house of god,
5128,Bethsaida,Female,Hebrew,Merciful.,
5129,Bethsaida,Female,Israel,merciful,
5130,Bethseda,Female,Hebrew,Merciful.,
5131,Bethseda,Female,Israel,merciful,
5132,Bethshaya,Female,England,"beth, shaya, shay",
5133,Bethsheba,Female,Hebrew,Oath.,
5134,Bethsheba,Female,Israel,oath,
5135,Betia,Female,England,house of god,
5136,Betje,Female,Dutch,Devoted to God.,
5137,Betje,Female,Hebrew,Devoted to God.,
5138,Betje,Female,Israel,devoted to god,
5139,Betlic,Male,England,splendid,
5140,Betonim,Female,Israel,bellies,
5141,Betrys,Female,England,from beatrice,
5142,Betsey,Female,England,diminutive of elizabeth,
5143,Betsy,Female,Israel,consecrated to god,
5144,Betta,Female,Latin-America,feminine of benedict,
5145,Bette,Female,America,consecrated to god,
5146,Betti,Female,Hebrew,Devoted to God.,
5147,Betti,Female,Israel,devoted to god,
5148,Bettina,Female,Israel,consecrated to god,
5149,Bettine,Female,France,a form of elizabeth,
5150,Bettine,Female,Hebrew,Devoted to God.,
5151,Betty,Female,Israel,consecrated to god,
5152,Betzalel,Male,Hebrew,In Gods shadow.,
5153,Betzalel,Male,Israel,in gods shadow,
5154,Beula,Female,Hebrew,To marry.,
5155,Beula,Female,Israel,to marry,
5156,Beulah,Female,Israel,married,
5157,Beval,Male,England,like the wind,
5158,Bevan,Male,Celtic,Young soldier.,
5159,Bevan,Male,Ireland,son of evan,
5160,Bevan,Male,Welsh,Evans son.,
5161,Beven,Male,England,youthful,
5162,Beven,Male,Welsh,Youthful.,
5163,Beverlee,M or F,England,beaver stream,
5164,Bevin,Female,Celtic,Fair lady.,
5165,Bevin,Female,Ireland,singer,
5166,Bevin,Female,Welsh,Fair lady.,
5167,Bevis,Male,England,bowman,
5168,Bevyn,Male,Celtic,Young soldier.,
5169,Bevyn,Male,Ireland,young soldier,
5170,Bevyn,Male,Welsh,Youthful.,
5171,Beyla,Female,Slovakia,by god!,
5172,Beyonce,Female,America,beyond others,
5173,Bezai,Female,Israel,eggs,
5174,Bezaleel,Male,Israel,in the shadow of god,
5175,Bezer,Male,Israel,vine branches,
5176,Bha,Female,India,star,
5177,Bhadra,Female,India,name of river,
5178,Bhadraa,Female,India,cow,
5179,Bhadravati,Female,India,wife of king pareekshit,
5180,Bhadrika,Female,India,woman with good fortune,
5181,Bhadyoga,Male,India,a wealthy person,
5182,Bhageerathi,Female,India,river ganga,
5183,Bhagiratha,Female,India,goddess,
5184,Bhagwandas,Male,India,serves god,
5185,Bhagya,Female,India,wealth,
5186,Bhagyajyothi,Female,India,light of good luck,
5187,Bhagyarekha,Female,India,line of good luck,
5188,Bhagyatra,Female,India,fortune star lucky star,
5189,Bhaic,Male,Scotland,bank,
5190,Bhakati,Male,India,devotion,
5191,Bhaltair,Male,Scotland,strong fighter,
5192,Bhanu,M or F,India,"sky origin, sanskrit",
5193,Bhanuja,Female,India,river yamuna,
5194,Bhanuman,Male,India,kousalya`s father,
5195,Bhanuprakash,Male,India,sun shine,
5196,Bharat,Male,India,name of a saint,
5197,Bharathi,Male,India,first,
5198,Bharati,Female,India,saraswati,
5199,Bhaskar,Male,India,sun,
5200,Bhaskara,Male,India,provides light,
5201,Bhasker,Male,India,the sun,
5202,Bhasvah,Male,India,light,
5203,Bhavana,Female,India,feelings sentiments,
5204,Bhavani,Female,India,parvati,
5205,Bhavata,Male,India,dearly loved,
5206,Bhavesh,Male,India,shiva,
5207,Bhavna,Female,India,good feelings,
5208,Bhavnish,Male,India,king,
5209,Bhavya,Female,India,grand splendid,
5210,Bheeshma,Male,India,terrible,
5211,Bhesaj,Male,India,vishnu the healer,
5212,Bhikkhu,Male,India,a monk,
5213,Bhikkhuni,Female,India,a nun,
5214,Bhilangana,Female,India,a river,
5215,Bhima,Male,India,terrible,
5216,Bhimadevi,Female,India,frightening goddess,
5217,Bhirigaraj,Male,India,a bee,
5218,Bhishma,Male,India,terrible,
5219,Bhoodevi,Female,India,mother earth,
5220,Bhoomi,Female,India,earth,
5221,Bhoomika,Female,India,earth,
5222,Bhoopesh,Male,India,king of the earth,
5223,Bhooshani,Female,India,ornamental,
5224,Bhooshita,Female,India,ornamental decorated,
5225,Bhootakingam,Male,India,shiva,
5226,Bhradain,Male,Scotland,salmon,
5227,Bhraghad,Male,Scotland,from the upper part,
5228,Bhreac,Male,Scotland,speckled,
5229,Bhric,Male,Scotland,speckled,
5230,Bhrigu,Male,India,a prajapati,
5231,Bhruic,Male,Gaelic,Badger.,
5232,Bhruic,Male,Scotland,badger,
5233,Bhrungara,Female,India,golden flower,
5234,Bhu,Female,India,earth,
5235,Bhudev,Male,India,lord of the earth,
5236,Bhudevi,Female,India,earth,
5237,Bhupendra,Male,India,king of seas,
5238,Bhuvana,Female,India,the earth,
5239,Bhuvaneswari,Female,India,mother earth in kannada,
5240,Biadhaiche,Male,Gaelic,Blesses.,
5241,Biadhaiche,Male,Scotland,blesses,
5242,Biagio,Male,Italy,lisping,
5243,Biaiardo,Male,Italy,reddish - brown hair,
5244,Bialas,Male,Poland,"white, white haired",
5245,Bialy,Male,Poland,white-haired boy,
5246,Bian,Female,Vietnam,secretive,
5247,Biana,Female,America,fair skinned,
5248,Bianca,Female,Latin-America,"white, fair",
5249,Biast,Male,Scotland,beast,
5250,Bibi,Female,Arabia,lady,
5251,Bibiana,Female,Latin-America,lively,
5252,Bibiane,Female,France,lively,
5253,Bibine,Female,Spain,lively,
5254,Bibsbebe,Female,Arabia,lady,
5255,Bice,Female,Italy,traveller,
5256,Bichri,Female,Israel,first-born first fruits,
5257,Bick,Male,England,from the hewers ford,
5258,Bickford,Male,England,from the hewers ford,
5259,Bicoir,Male,Scotland,father of arthur,
5260,Biddy,Female,Ireland,protective,
5261,Bidelia,Female,Ireland,high one,
5262,Bidina,Female,Ireland,protective,
5263,Bidziil,Male,America,he is strong,
5264,Bidziil,Male,Native American,He is strong (Navajo).,
5265,Biecaford,Male,England,from the hewers ford,
5266,Bien,Male,Vietnam,"ocean, sea",
5267,Bienvenida,Female,Spain,welcome,
5268,Bigot,Male,England,king john lord bigot,
5269,Bigthan,Female,Israel,in the press giving meat,
5270,Bigvai,Female,Israel,in my body,
5271,Bijali,Female,India,lightening active,
5272,Bijan,Male,Africa,hero,
5273,Bik,Female,Chinese,Jade.,
5274,Bikita,Female,Africa,anteater,
5275,Bilagaana,Male,America,white person,
5276,Bilal,Male,Arabia,first convert of muhammad,
5277,Bildad,Female,Israel,old friendship,
5278,Bilen,M or F,America,pupil of an eye,
5279,Bilgah,Female,Israel,ancient countenance,
5280,Bilhah,Female,Israel,who is old or confused,
5281,Bilhan,Female,Israel,who is old or confused,
5282,Bilko,Male,Czech-Republic,white,
5283,Bill,Male,England,from the name william,
5284,Billie,M or F,Germany,defender of justice,
5285,Billy,Male,Germany,from the name william,
5286,Bilqis,Female,Arabia,queen of sheba,
5287,Bilshan,Female,Israel,in the tongue,
5288,Bily,Male,Czech-Republic,white,
5289,Bimal,Male,Indian,One who is pure.,
5290,Bimala,Female,India,pure,
5291,Bimbika,Female,India,disc of moon or sun,
5292,Biminak,Male,America,slick roper,
5293,Bimisi,Male,America,slippery,
5294,Bimisi,Male,Native American,Slippery.,
5295,Bin,Male,England,from the name bingham,
5296,Bina,Female,Africa,freshness,
5297,Bina,Female,Indian,Musical instrument.,
5298,Binah,Male,Hebrew,Understanding.,
5299,Binah,Male,Israel,understanding,
5300,Binda,Female,Australia,deep water,
5301,Bindusri,Female,India,drop point,
5302,Binea,Male,Israel,son of the lord,
5303,Binean,Male,Ireland,"derived from beanon, good",
5304,Bing,Male,America,intuitive adaptation,
5305,Bingen,Male,Basque,Conquers.,
5306,Bingen,Male,Spain,conqueror,
5307,Binger,Male,Latin-America,conqueror,
5308,Bingham,Male,England,town of the hollow,
5309,Binh,Male,Vietnam,peaceful,
5310,Bink,Male,England,lives at the bank,
5311,Binnaha,Female,India,prayer request,
5312,Binnui,Male,Israel,building,
5313,Bint,Female,Africa,daughter girl,
5314,Bintang,Female,Indonesia,star,
5315,Binte-Zahra,Male,Africa,flower girl,
5316,Binti,Female,Africa,daughter,
5317,Binty,Female,Africa,daughter,
5318,Binyamin,Male,Hebrew,Ploughman.,
5319,Binyamin,Male,Israel,ploughman,
5320,Bionbyr,Male,Norway,warriors estate,
5321,Biorn,Male,Norway,bear,
5322,Birch,Male,England,birch tree,
5323,Birche,Male,England,birch,
5324,Bird,Male,England,bird,
5325,Birde,Male,England,bird,
5326,Birdena,Female,England,little bird,
5327,Birdhil,Male,England,from the bird hill,
5328,Birdhill,Male,England,from the bird hill,
5329,Birdoswald,Male,England,from birdoswald,
5330,Birdy,Female,England,birdlike,
5331,Birger,Male,Norway,rescue,
5332,Birget,Female,Norway,protecting,
5333,Birgetta,Female,Sweden,strong,
5334,Birgit,Female,Celtic,Splendid or strong.,
5335,Birgit,Female,Ireland,splendid or strong,
5336,Birgitta,Female,Sweden,strong,
5337,Birjis,Male,Africa,jupiter planet,
5338,Birk,Male,England,birch tree,
5339,Birk,Male,Scottish,From a birch tree.,
5340,Birkir,Male,Icelandic,Birch tree.,
5341,Birkita,Female,Celtic,Strong.,
5342,Birkita,Female,Ireland,strong,
5343,Birna,Female,Icelandic,Bear (female).,
5344,Birney,Male,England,lives on the brook island,
5345,Biron,Male,England,lives on the brook island,
5346,Birr,Male,Ireland,from birr,
5347,Birta,Female,Icelandic,Bright.,
5348,Birte,Female,Celtic,Splendid.,
5349,Birte,Female,Ireland,splendid,
5350,Birtel,Male,England,from the bird hill,
5351,Birthe,Female,Danish,Danish form of BERTHA.,
5352,Birtingr,Male,Icelandic,Bright.,
5353,Birtle,Male,England,from the bird hill,
5354,Bisgu,Female,England,cares,
5355,Bishamon,Male,Japan,the japanese god of war,
5356,Bishlam,Female,Israel,in peace,
5357,Bishop,Male,England,a bishop,
5358,Bishr,Male,Africa,joy,
5359,Bishvajit,Male,India,victor of the world,
5360,Bitalo,M or F,Africa,finger-licking,
5361,Bitanig,Male,England,from the preserving land,
5362,Bithiah,Female,Israel,daughter of the lord,
5363,Bithron,Female,Israel,divisions,
5364,Bithynia,Female,Latin-America,mother of amycus,
5365,Biton,Male,Africa,born after long wait,
5366,Bittan,Male,Germany,desire,
5367,Bitten,Male,Germany,desire,
5368,Bittor,Male,Basque,Conquers.,
5369,Bittor,Male,Latin-America,conqueror,
5370,Bittore,Female,Latin-America,victor,
5371,Bituin,Female,Philippines,the stars,
5372,Bitya,Female,Hebrew,Daughter of God.,
5373,Bitya,Female,Israel,daughter of god,
5374,Bixenta,Female,Basque,Victory.,
5375,Bixenta,Female,Spain,victorious,
5376,Biyn,Male,Norway,strong,
5377,Bizjothjah,Female,Israel,despite,
5378,Bjame,Male,Norway,bear,
5379,Bjami,Male,Norway,bear,
5380,Bjarki,Male,Icelandic,Small bear.,
5381,Bjarne,Male,Denmark,bear,
5382,Bjartur,Female,Icelandic,Bright.,
5383,Bjolf,Male,Norway,blood brother of lodmund,
5384,Bjomolf,Male,Norway,bear wolf,
5385,Bjorg,Female,Iceland,salvation,
5386,Bjork,Female,Iceland,birch tree,
5387,Bjorn,Male,Iceland,bear,
5388,Black,Male,England,dark,
5389,Blackburn,Male,England,black brook,
5390,Blade,Male,England,"knife, sword",
5391,Bladen,Male,Israel,hero,
5392,Blaec,Male,England,black or white,
5393,Blaecleah,Male,England,from the dark meadow,
5394,Blaed,Male,England,wealthy glory,
5395,Blaeey,Male,England,blond,
5396,Blagdan,Male,England,from the dark valley,
5397,Blagden,Male,England,from the dark valley,
5398,Blagdon,Male,England,from the dark valley,
5399,Blain,Male,Gaelic,Variant of Blaine: Thin.,
5400,Blain,Male,Scotland,"derived from blaine, thin",
5401,Blaine,Male,Celtic,Slender.,
5402,Blaine,M or F,England,the source of a river,
5403,Blaine,M or F,Gaelic,Thin.,
5404,Blaine,Male,Irish,Thin. Surname.,
5405,Blainey,Male,Celtic,Slender.,
5406,Blainey,Male,Ireland,slender,
5407,Blair,M or F,Celtic,From tbe plain.,
5408,Blair,Male,English,Flatland.,
5409,Blair,Male,Gaelic,Child of the fields.,
5410,Blair,M or F,Ireland,field or plain,
5411,Blair,M or F,Scottish,Peat moss.,
5412,Blaire,Female,Scotland,field of battle,
5413,Blais,Male,France,lisp stutter,
5414,Blaisdell,Male,France,lisp stutter,
5415,Blaise,Male,English,Stutters.,
5416,Blaise,M or F,France,stammerer,
5417,Blaize,Male,France,lisp stutter,
5418,Blake,M or F,England,pale blond one or dark,
5419,Blakeley,Male,England,from the dark meadow,
5420,Blakely,Male,England,from the dark meadow,
5421,Blakemore,Male,England,from the dark moor,
5422,Blakey,Male,England,blond,
5423,Blanca,Female,Spain,white,
5424,Blanch,Female,France,white,
5425,Blanche,Female,France,white,
5426,Blanchefleur,Female,France,white flower,
5427,Blancheflor,Female,Scotland,white flower,
5428,Blancheflour,Female,Scotland,white flower,
5429,Blanco,Male,Spain,blond,
5430,Bland,Male,Latin-America,gentle,
5431,Blanda,Female,Germany,dazzling,
5432,Blandford,Male,England,gray haired,
5433,Blandina,Female,Spain,flattering,
5434,Blandine,Female,Latin-America,mild,
5435,Blandon,Male,Latin-America,gentle,
5436,Blane,Male,Celtic,Slender.,
5437,Blane,Male,English,Variant of Blaine.,
5438,Blane,Male,Gaelic,Variant of Blaine: Thin.,
5439,Blane,Male,Ireland,slender,
5440,Blane,Male,Scottish,Variant of Blaine.,
5441,Blaney,Male,England,derived from blaine,
5442,Blaney,Male,Scottish,Variant of Blaine.,
5443,Blanford,Male,England,gray haired,
5444,Blanka,Female,Latin-America,white,
5445,Blar,Male,Ireland,from the fields,
5446,Blas,Female,Germany,firebrand,
5447,Blas,Male,Spanish,Stutters.,
5448,Blasa,Female,Germany,firebrand,
5449,Blasa,Female,Spanish,Stutters.,
5450,Blase,Male,France,lisp stutter,
5451,Blasia,Female,Latin-America,stammers,
5452,Blasius,Male,Sweden,stutters,
5453,Blastus,Female,Israel,that buds or brings forth,
5454,Blathaon,Male,England,legendary son of mwrheth,
5455,Blathaon,Male,Welsh,Legendary son of Mwrheth.,
5456,Blathma,Male,Ireland,flower,
5457,Blathnaid,Female,Ireland,flower,
5458,Blayke,Male,England,attractive,
5459,Blayne,Male,Celtic,Slender.,
5460,Blayne,Male,English,Twin.,
5461,Blayne,Male,Ireland,slender,
5462,Blayne,Male,Scottish,Variant of Blaine.,
5463,Blayney,Male,Celtic,Slender.,
5464,Blayney,Male,Ireland,slender,
5465,Blayze,Male,America,spitfire,
5466,Blayze,Male,French,"Lisp, stutter.",
5467,Blaz,Male,Germany,unwavering protector,
5468,Blaze,M or F,America,a flame,
5469,Blaze,Male,English,Stutters.,
5470,Blaze,Male,French,"Lisp, stutter.",
5471,Blazej,Male,Czech-Republic,one who stutters,
5472,Bleddyn,Male,England,wolf hero,
5473,Bleddyn,Male,Welsh,Wolf hero.,
5474,Bledig,Male,Ireland,like a wolf,
5475,Bleecker,Male,Netherlands,bleacher of cloth,
5476,Bleidd,Male,England,wolf,
5477,Bleidd,Male,Welsh,Wolf.,
5478,Blenda,Female,Latin-America,dazzling bright,
5479,Blerim,Male,Albania,blossoming,
5480,Blerta,Female,Albania,green,
5481,Blerung,Female,England,blessing,
5482,Blessing,Female,England,consecrated,
5483,Bletsung,Female,England,consecrated,
5484,Blian,Male,Ireland,thin,
5485,Bliant,Male,Scotland,healer,
5486,Bliss,M or F,England,perfect joy,
5487,Blisse,Female,England,joy,
5488,Blithe,M or F,England,happy,
5489,Bliths,Female,England,joy,
5490,Blix,Female,Sweden,"joy, cheer",
5491,Blodwen,Female,Welsh,White flower.,
5492,Blodwyn,Female,England,flower,
5493,Blodwyn,Female,Welsh,White flower.,
5494,Blondell,Female,England,white flower,
5495,Blondelle,Female,France,blonde,
5496,Blood,Male,America,blood,
5497,Blossom,Female,England,flowerlike,
5498,Blostm,Female,England,fresh,
5499,Blue,M or F,America,the color,
5500,Bluinse,Female,Ireland,white,
5501,Bluma,Female,Israel,a flower,
5502,Bly,Female,America,to be a tall child,
5503,Bly,Female,Native American,Tall.,
5504,Blyana,Female,Ireland,strong,
5505,Blyde,Male,England,"joy origin, dutch",
5506,Blyss,Female,England,joy,
5507,Blysse,Female,England,joy,
5508,Blyth,Male,England,merry,
5509,Blythe,M or F,England,happy,
5510,Bo,M or F,Chinese,Precious.,
5511,Bo,M or F,Israel,strong and fast,
5512,Boadicea,Female,England,a queen,
5513,Boanerges,Male,Israel,son of thunder,
5514,Boarte,Male,Scotland,son of arthur,
5515,Boas,Male,Hebrew,Swift.,
5516,Boas,Male,Israel,swift,
5517,Boase,Male,Hebrew,Variant of Boaz: Quick.,
5518,Boase,Male,Israel,"derived from boaz, quick",
5519,Boaz,Male,Hebrew,Swift.,
5520,Boaz,Male,Israel,"swift, strong",
5521,Bob,Male,English,Abbreviation of Robert.,
5522,Bob,Male,Germany,"famous, bright fame",
5523,Bobbie,M or F,English,Abbreviation of Robert.,
5524,Bobbie,M or F,Germany,"famous, bright fame",
5525,Bobby,M or F,America,short for robert,
5526,Bobby,Male,English,Abbreviation of Robert.,
5527,Boc,Male,England,deer,
5528,Bocheru,Male,Israel,the first born,
5529,Bocleah,Male,England,lives at the buck meadow,
5530,Bocley,Male,England,lives at the buck meadow,
5531,Boda,Male,England,herald,
5532,Bodashka,Male,Croatia,gods gift,
5533,Bodaway,Male,America,fire maker,
5534,Bodaway,Male,Native American,Fire maker.,
5535,Boden,Male,Celtic,Blond.,
5536,Boden,Male,French,He who delivers the news.,
5537,Boden,Male,Scandinavia,sheltered,
5538,Bodgana,Female,Poland,gift of god,
5539,Bodhi,Male,India,awakens,
5540,Bodi,Male,Hungary,god bless the king,
5541,Bodicia,Female,England,a queen,
5542,Bodil,Female,Norway,a battle maiden,
5543,Bodile,Female,Norway,fighting woman,
5544,Bodilla,Female,Norway,fighting woman,
5545,Bodmod,Male,Norway,son of oleif,
5546,Bodo,Male,Germany,a leader,
5547,Bodolf,Male,Norway,wolf leader,
5548,Bodvar,Male,Norway,son of thorleif,
5549,Bodwyn,Male,Scotland,brother of mark,
5550,Body,Male,Celtic,Blond.,
5551,Body,Male,Ireland,blond,
5552,Boell,Male,Germany,hill dweller,
5553,Boetius,Male,Ireland,foolish pride,
5554,Bofind,Male,Gaelic,White cow.,
5555,Bofind,Male,Scotland,white cow,
5556,Bogart,Male,Germany,bowstring,
5557,Bogdan,Male,Hebrew,Gift from God.,
5558,Bogdan,Male,Israel,gift from god,
5559,Bogdashha,Male,Russia,gift from god,
5560,Boghos,Male,Armenia,armenian form of paul,
5561,Bogna,Female,Poland,gift of god,
5562,Bogohardt,Male,Germany,bowstring,
5563,Boguchwal,Male,Poland,gods glory,
5564,Bogumierz,Male,Poland,god is great,
5565,Bogumil,Male,Poland,"gods love, gods peace",
5566,Boguslaw,Male,Poland,gods glory,
5567,Bohan,Female,Hebrew,in them,
5568,Bohannon,Male,Ireland,son of owen,
5569,Bohdan,Male,Hebrew,Gift from God.,
5570,Bohdan,Male,Slovakia,proud ruler,
5571,Bohdana,Female,Russia,from god,
5572,Bohdanko,Male,Croatia,gods gift,
5573,Bohgana,Female,Poland,gift of god,
5574,Bohort,Male,Scotland,uncle of arthur,
5575,Bohous,Male,Czech-Republic,gods peace,
5576,Bohumil,Male,Czech-Republic,gods peace,
5577,Bohumir,Male,Czech-Republic,god is great,
5578,Bohuslav,Male,Czech-Republic,gods glory,
5579,Boid,Male,Gaelic,Variant of Boyd: Blonde.,
5580,Boid,Male,Scotland,"derived from boyd, blonde",
5581,Bojan,Male,Czech-Republic,war,
5582,Bojanek,Male,Czech-Republic,"derived from bojan, war",
5583,Boje,Male,Sweden,from the castle,
5584,Bojek,Male,Czech-Republic,"derived from bojan, war",
5585,Bojik,Male,Czech-Republic,"derived from bojan, war",
5586,Bolbe,Female,Latin-America,a nymph,
5587,Bold,Male,Mongolia,steel,
5588,Boldizsar,Male,Hungary,god bless the king,
5589,Boleslaus,Male,Slovakia,sorrowful,
5590,Boleslav,Male,Czech-Republic,great glory,
5591,Boleslaw,Male,Poland,great glory,
5592,Bolli,Male,Norway,son of thorleik,
5593,Bolodenka,Male,Russia,peaceful,
5594,Bolormaa,Female,Mongolia,crystal mother,
5595,Bolthor,Male,Norway,a mythical giant,
5596,Bolton,Male,England,from the farm,
5597,Bolverk,Male,Norway,a disguise of odin,
5598,Bon-Hwa,Male,Korea,glorious,
5599,Bona,Female,Italy,good,
5600,Bona-Dea,Female,Latin-America,related to the faunus,
5601,Bonamy,M or F,France,good friend,
5602,Bonar,Male,France,gentle,
5603,Bonaventure,Male,Latin-America,good luck,
5604,Bond,Male,England,to bind,
5605,Bondig,Male,England,free,
5606,Bonie,Female,England,good,
5607,Boniface,Male,Latin-America,benevolent one,
5608,Bonifacio,Male,Spain,benefactor,
5609,Bonifacius,Male,Dutch,Does good.,
5610,Bonifaco,Male,Spain,benefactor,
5611,Bonifacy,Male,Poland,doer of good deeds,
5612,Bonifaey,Male,Latin-America,good,
5613,Bonita,Female,Spain,beautiful,
5614,Bonnar,Male,French,Variant of Bonar: Gentle.,
5615,Bonnar,Male,Ireland,debonair,
5616,Bonner,Male,America,good citizen,
5617,Bonner,Male,French,Variant of Bonar: Gentle.,
5618,Bonni,Female,Spain,pretty little one,
5619,Bonnibel,Female,Latin-America,good,
5620,Bonnie,Female,English,Good.,
5621,Bonnie,Female,French,Sweet.,
5622,Bonnie,Female,Ireland,pretty girl,
5623,Bonny,Female,England,good,
5624,Bonny,Female,French,Sweet.,
5625,Bono,Male,America,all good,
5626,Boo,Female,Ireland,star,
5627,Booker,Male,England,book maker,
5628,Boone,Male,France,good,
5629,Boot,Male,England,"derived from booth, house",
5630,Boote,Male,England,"derived from booth, house",
5631,Booth,Male,England,hut,
5632,Boothe,Male,England,lives in a hut,
5633,Booz,Male,Israel,in strength,
5634,Bor,Male,Norway,father of odin,
5635,Borak,Male,England,lives in a hut,
5636,Borbala,Female,Latin-America,stranger,
5637,Borc,Male,Scandinavia,castle,
5638,Bordan,Male,England,from the boar valley,
5639,Borden,Male,England,from the boar valley,
5640,Boreas,Male,Greece,the north wind,
5641,Borg,Male,Norway,from the castle,
5642,Borghild,Female,Norway,wife of sigmund,
5643,Borghilda,Female,Norway,wife of sigmund,
5644,Borghlide,Female,Norway,wife of sigmund,
5645,Borgny,Female,Norway,"help, new",
5646,Bori,Male,Norway,father of bor,
5647,Boris,Male,Slovakia,warrior,
5648,Borivoj,Male,Czech-Republic,great soldier,
5649,Bork,Male,Norway,killed by gunnar,
5650,Borka,Male,Slovakia,fighter,
5651,Borna,Male,Africa,youthful,
5652,Borr,Male,Sweden,youth,
5653,Borre,Male,Scotland,son of arthur,
5654,Bors,Male,Scotland,uncle of arthur,
5655,Borsca,Female,Latin-America,stranger,
5656,Borska,Female,Latin-America,stranger,
5657,Bort,Male,England,fortified,
5658,Borya,Male,Russia,fighter,
5659,Boryenka,Male,Russia,fighter,
5660,Borys,Male,Poland,stranger,
5661,Borysko,Male,Croatia,warrior,
5662,Boryslaw,Male,Poland,battle glory,
5663,Boskath,Female,Israel,in poverty,
5664,Boson,Female,Israel,taking away,
5665,Boston,Male,England,a place name,
5666,Boswell,Male,France,forested town,
5667,Botan,M or F,Japan,blossom,
5668,Botewolf,Male,England,herald wolf,
5669,Both,Male,Scotland,from the stone house,
5670,Bothain,Male,Scotland,from the stone house,
5671,Bothan,Male,Scotland,from the stone house,
5672,Bothe,Male,England,lives in a hut,
5673,Bothi,Male,Norway,herald,
5674,Botilda,Female,Norway,directing heroine,
5675,Botolf,Male,England,herald wolf,
5676,Botolph,Male,England,"derived from botolf, wolf",
5677,Botulf,Male,England,"derived from botolf, wolf",
5678,Botwolf,Male,England,herald wolf,
5679,Boudicea,Female,England,a queen,
5680,Boulus,Male,Arabia,arabic form of paul,
5681,Bour,Male,Africa,rock,
5682,Bourey,Male,Cambodia,county,
5683,Bourke,Male,England,fortified hill,
5684,Bourn,Male,England,from the brook,
5685,Bourne,Male,England,from the brook,
5686,Bowden,Male,Celtic,Blond.,
5687,Bowden,Male,England,messenger,
5688,Bowdyn,Male,Celtic,Blond.,
5689,Bowdyn,Male,England,messenger,
5690,Bowen,Male,Celtic,Son of Owen.,
5691,Bowen,Male,Gaelic,Small son.,
5692,Bowen,Male,Ireland,archer,
5693,Bowen,Male,Welsh,Son of Owen.,
5694,Bowie,Male,Ireland,yellow haired,
5695,Bowman,Male,England,the archer,
5696,Bowyn,Male,Celtic,Son of Owen.,
5697,Bowyn,Male,Gaelic,Blond.,
5698,Bowyn,Male,Ireland,son of owen,
5699,Boy,Male,England,boy,
5700,Boyce,Male,English,Lives near the wood.,
5701,Boyce,Male,France,from the woods,
5702,Boyd,Male,Celtic,Blond.,
5703,Boyd,Male,Ireland,blonde,
5704,Boyden,Male,Celtic,Blond.,
5705,Boyden,Male,England,messenger,
5706,Boyne,Male,Gaelic,White cow.,
5707,Boyne,Male,Ireland,white cow,
5708,Boynton,Male,Celtic,From tbe white river.,
5709,Boynton,Male,Gaelic,From the white river.,
5710,Boynton,Male,Ireland,from tbe white river,
5711,Bozez,Female,Israel,mud bog,
5712,Bozi,Female,Hebrew,Devoted to God.,
5713,Bozi,Female,Israel,devoted to god,
5714,Bozica,Female,Slovakia,born at christmas,
