,name,gender,meanings
12399,Delilah,g,"night,amorous, delight, languishing, temptress. in the old testament, samsons mistress delilah tricked him into revealing the secret of his strength, then betrayed him to the philistines.."
12400,Delina,g,
12401,Delinah,u,uncertain meaning
12402,Delinda,g,of beauty
12403,Delisa,g,variant of latin delicia: gives pleasure..
12404,Delisha,g,"variation of latin delicia, gives pleasure."
12405,Delissa,g,"variation of latin delicia, gives pleasure."
12406,Delit,g,pleasure
12407,Deliz,g,from dean and liz
12408,Deliza,g,"pleasure,variant of latin delicia: gives pleasure.."
12409,Dell,u,"valley.,noble"
12410,Della,u,"bright. noble.,of the nobility,noble. this diminutive of adela has been used commonly as an independent name since the late 19th century.."
12411,Dellar,g,
12412,Delle,g,name of constellation of aquarius.
12413,Dellia,g,
12414,Dellie,g,
12415,Delling,u,fascinating
12416,Dellinger,b,dayspring
12417,Dellingr,b,shining
12418,Delma,u,"noble protector,of the sea."
12419,Delman,b,man from the valley
12420,Delmar,u,"mariner,mariner.,of the sea."
12421,Delmara,g,of the sea
12422,Delmare,g,of the sea
12423,Delmas,b,
12424,Delmer,b,"mariner of the sea,variant of delmar: seaside.."
12425,Delmi,g,noble protector
12426,Delmira,g,noble protector
12427,Delmon,b,"of the mountain,of the mountain."
12428,Delmont,b,"of the mountain,of the mountain."
12429,Delmor,b,"derived from delmar, seaside."
12430,Delmore,b,"of the sea,variant of delmar: seaside.."
12431,Delmus,b,
12432,Delmy,g,noble protector
12433,Delois,g,
12434,Delora,g,"of sorrow,variant of dolores: sorrows.."
12435,Deloras,g,from the seashore
12436,Delores,g,"from the name dolores,variant of dolores: sorrows.."
12437,Deloris,g,derived from dolores meaning sorrows.
12438,Deloros,g,from the seashore
12439,Delos,b,
12440,Delpha,g,
12441,Delphia,g,"from delphi,dolphin. variant of the thirteenth-century french saint delphine.."
12442,Delphin,b,
12443,Delphina,g,little flower
12444,Delphine,g,"from the flower,dolphin. derived from the greek name. famous bearer: a thirteenth-century french saint.."
12445,Delphinus,b,a scout of poseidon
12446,Delray,b,of the king
12447,Delrick,b,of the king
12448,Delrico,b,of the king
12449,Delron,b,of the king
12450,Delroy,b,"the king.,of the king"
12451,Delsie,g,
12452,Delsin,b,"he is so,he is so."
12453,Delsy,b,"derived from delsin, he is so.,variant of delsin: he is so.."
12454,Delta,g,mouth of a river
12455,Delton,b,from the town in the valley.
12456,Delu,g,the only girl
12457,Delvin,b,godly friend
12458,Delvon,b,godly friend
12459,Delwen,g,derived from the welsh words for neat and fair..
12460,Delwin,b,"godly friend,godly friend."
12461,Delwyn,u,"a friend from the valley,godly friend."
12462,Delwynn,b,"derived from delvin, friend, good friend."
12463,Delyssa,g,"born fourth fourth letter of the greek alphabet.,variant of latin delicia: gives pleasure.."
12464,Delyth,g,"neat and pretty,derived from the welsh words for neat and pretty.."
12465,Dema,u,"calm,the rainy cloud."
12466,Deman,b,"tame.,judge"
12467,Demarco,b,"of mark.,warlike"
12468,Demarcus,b,
12469,Demario,b,"son of mario,masculine form of the greek damaris gentle..."
12470,Demarion,b,
12471,Demas,g,popular
12472,Demason,b,judges son
12473,Demasone,b,judges son
12474,Demba,b,
12475,Dembe,b,peace
12476,Demeka,g,friendly
12477,Demelza,g,fortified
12478,Demeter,g,lover of the earth
12479,Demetra,g,goddess of fertility
12480,Demetre,b,gift from demeter
12481,Demetri,b,gift from demeter
12482,Demetria,g,goddess of fertility
12483,Demetric,b,
12484,Demetrio,b,
12485,Demetrios,b,gift from demeter
12486,Demetrius,b,goddess of fertility
12487,Demi,g,"half, small,abbreviation of demetria - the mythological goddess of corn and harvest.."
12488,Demian,b,
12489,Demira,g,devotee of lord krishna
12490,Demis,b,
12491,Demitrius,b,lover of the earth
12492,Demiyah,g,sacred one
12493,Democritus,b,
12494,Demodocus,b,a blind hero
12495,Demogorgon,b,a greek name for satan
12496,Demonassa,g,wife of hippolochus
12497,Demond,b,"of man,of man."
12498,Demonte,b,
12499,Demophon,b,son of theseus
12500,Demos,g,popular
12501,Demosthenes,b,
12502,Demothi,b,"talks while walking,talks while walking."
12503,Dempsey,b,"from the judges meadow.,proud.,proud"
12504,Dempster,b,judge
12505,Demy,b,
12506,Demyan,b,"tame, domesticated"
12507,Den,u,bequest from ancestors
12508,Dena,g,"avenged.,valley or vindicated,valley.,combination of deana (divine) and dina (from the valley; avenged).."
12509,Denae,g,mother of perseus
12510,Denali,g,great one
12511,Denby,b,from the danish settlement.
12512,Dendera,g,from dendera
12513,Dene,u,"valley,variant of dean: from the valley.."
12514,Deneen,g,combination of deana (divine) and dina (from the valley; avenged)..
12515,Denelle,g,god is my judge
12516,Denes,b,"wine, drama"
12517,Denese,g,
12518,Deng,b,
12519,Denham,b,village
12520,Denholm,b,"town,scottish village.,valley island. derived from a surname and place name. famous bearer: british actor denholm elliott.."
12521,Denia,g,combination of deana (divine) and dina (from the valley; avenged)..
12522,Denica,g,combination of deana (divine) and dina (from the valley; avenged)..
12523,Denice,g,feminine of denis or denys from the greek name dionysus. ..
12524,Deniece,g,feminine of denis from the greek name dionysus.
12525,Denim,u,strong cloth
12526,Denine,g,
12527,Denis,b,"from the name dennis,from the latin dionysos or dionysus, referring to the greek god of wine.."
12528,Denisa,g,feminine of dennis from the greek name dionysus.
12529,Denisc,b,danish
12530,Denise,g,"feminine form of dennis,feminine form of dennis: from the latin dionysos or dionysus, referring to the greek god of wine.."
12531,Denisha,g,feminine of denis from the greek name dionysus.
12532,Denison,b,"derived from dennison, dennis son."
12533,Denissa,g,feminine of denis from the greek name dionysus.
12534,Denisse,g,feminine of denis from the greek name dionysus.
12535,Denita,g,
12536,Deniz,u,the sea
12537,Denley,b,from the valley meadow
12538,Denlie,b,"derived from denley, meadow by a valley."
12539,Denly,b,"derived from denley, meadow by a valley."
12540,Denman,b,resident of a valley
12541,Denmark,u,
12542,Denna,g,"glen, valley"
12543,Dennet,b,named for saint denys
12544,Denney,b,"named for saint denys,variant of dionysius. dionysius is the mythological greek god of wine responsible for growth of the vines and the originator of winemaking: (equivalent to the roman god bacchus.).."
12545,Denni,g,"feminine of denis from the greek name dionysus.,combination of deana (divine) and dina (from the valley; avenged).."
12546,Dennie,u,"diminutive of denise: the feminine form of dennis, from the latin name dionysia, or the greek dionysus..,variant of dionysius. dionysius is the mythological greek god of wine responsible for growth of the vines and the originator of winemaking: (equivalent to the roman god bacchus.).."
12547,Dennis,u,"named for saint denys.,wild, frenzied,variant of dionysius. dionysius is the mythological greek god of wine responsible for growth of the vines and the originator of winemaking: (equivalent to the roman god bacchus.).."
12548,Dennise,g,feminine of denis from the greek name dionysus. ..
12549,Dennison,b,as you like it servant to oliver.
12550,Denny,b,"from denmark,variant of dionysius. dionysius is the mythological greek god of wine responsible for growth of the vines and the originator of winemaking: (equivalent to the roman god bacchus.).."
12551,Dennys,b,courage
12552,Dennyson,b,"derived from dennison, dennis son."
12553,Dent,b,"diminutive of denton, valley town."
12554,Denten,b,"derived from denton, valley town."
12555,Dentin,b,"derived from denton, valley town."
12556,Denton,b,happy home
12557,Denver,u,"green valley,green valley.,variant of the surname danvers meaning from anvers. capital city of the state of colorado in the usa.."
12558,Denys,b,"named for saint denys,from the latin dionysos or dionysus, referring to the greek god of wine.."
12559,Denyse,g,feminine of denis from the greek name dionysus.
12560,Denyw,g,the mother of st kentigern.
12561,Denzel,b,"wild.,wild one,a place-name in cornwall."
12562,Denzell,b,derived from denzel - a place in cornwall.
12563,Denzil,b,derived from denzel - a place in cornwall.
12564,Denílson,b,
12565,Deo,b,godlike
12566,Deoch,g,"mythical princess of munster.,mythical princess of munster.."
12567,Deodoro,b,
12568,Deogol,b,secret
12569,Deon,u,"variant of dion: god.,divine queen,abbreviation of dionysius.."
12570,Deona,g,derived from diana meaning divine.
12571,Deondra,g,derived from diana meaning divine.
12572,Deondre,b,
12573,Deonna,g,derived from diana meaning divine.
12574,Deonne,g,derived from diana meaning divine.
12575,Deonta,b,
12576,Deontae,b,
12577,Deonte,b,
12578,Deoradhain,b,exile
12579,Deorsa,b,"farmer.,farmer, gaelic form of george."
12580,Deortun,b,from the deer park
12581,Deorward,b,guardian of the deer
12582,Deorwine,b,friend of the deer
12583,Dep,g,beautiful
12584,Dequan,b,
12585,Der,b,form of derek - ruler
12586,Dera,g,"fiend,fiend."
12587,Derald,b,blend of daryl and harold or gerald.
12588,Derbe,g,a sting
12589,Derby,u,"from the village of danes,deer park, from the surname and place name derby. also without envy..."
12590,Derebourne,b,from the deer brook
12591,Dereck,b,"gifted ruler from theodoric.,gifted ruler. from theodoric.."
12592,Derek,b,"famous ruler,gifted ruler. people ruler. variant of the old german theodoricfamous bearer: derrick was a 17th century hangman at tyhurn, whose name became synonymous with gallows and now refers to a type of crane.gifted ruler. from theodoric.."
12593,Dereka,g,gifted ruler modern feminine of derek.
12594,Derell,b,"derived from darrel open,variant of darrel open.."
12595,Dereon,b,
12596,Derex,b,famous ruler
12597,Derforgal,g,servant of dervor
12598,Derforgala,g,servant of dervor
12599,Derian,b,harm
12600,Deric,b,
12601,Derica,g,"beloved leader,gifted ruler. modern feminine of derek.."
12602,Dericia,g,athletic
12603,Derick,b,"gifted ruler. from theodoric..,gifted ruler from theodoric."
12604,Dericka,g,gifted ruler modern feminine of derek.
12605,Derik,b,"gifted ruler. from theodoric..,gifted ruler from theodoric."
12606,Derimacheia,g,amazon
12607,Derinow,g,amazon
12608,Derl,b,
12609,Dermod,b,"free man.,free"
12610,Dermot,b,"free.,free man.,free man"
12611,Dermott,b,"free man.,derived from dermot, free from jealosy."
12612,Dernas,b,"pauls colleague.,pauls colleague"
12613,Deron,b,"belongs to god,eree."
12614,Deror,b,"independence.,independence"
12615,Derora,g,"free.,running streams"
12616,Derori,b,"derived from deror, independence.,variant of deror: independence.."
12617,Derorice,g,"free.,free"
12618,Derorit,g,"free.,free"
12619,Derrall,b,"derived from darrel open,variant of darrel open.."
12620,Derrance,b,blend of darell and clarence.
12621,Derreck,b,"derived from derek, leader."
12622,Derrek,b,"gifted ruler from theodoric.,gifted ruler. from theodoric.."
12623,Derrell,b,"derived from darrel open,variant of darrel open.."
12624,Derren,b,great
12625,Derrian,b,great
12626,Derrica,g,gifted ruler modern feminine of derek.
12627,Derrick,b,"famous ruler,peoples ruler."
12628,Derrie,b,"derived from derry, red-haired."
12629,Derrik,b,"gifted ruler. from theodoric..,gifted ruler from theodoric."
12630,Derrill,b,"derived from darrel open,variant of darrel open.."
12631,Derrin,b,great
12632,Derring,u,bold
12633,Derrold,b,blend of daryl and harold or gerald.
12634,Derron,b,great
12635,Derry,u,"red haired.,red-head,diminutive of derek: gifted ruler. people ruler. variant of the old german theodoric. famous bearer: derrick was a 17th century hangman at tyhurn, whose name became synonymous with gallows and now refers to a type of crane...,red haired; oak grove. surname.."
12636,Derryl,b,derived from darrell
12637,Derryth,g,of the oak
12638,Derval,g,true desire
12639,Dervilia,g,true desire
12640,Dervin,b,gifted friend
12641,Dervla,g,true desire
12642,Dervon,b,gifted friend
12643,Dervorgilla,g,servant of dervor
12644,Derwan,b,friend of the deer
12645,Derward,b,guardian of the deer
12646,Derwen,g,"from the oak tree,from the oak tree."
12647,Derwent,b,surname referring to derwent river in england.
12648,Derwin,b,friend of wild animals
12649,Derwyn,b,friend of the deer
12650,Derwynn,b,"derived from darwin, friend."
12651,Deryck,b,"gifted ruler from theodoric.,gifted ruler. from theodoric.."
12652,Deryk,b,"gifted ruler. people ruler..,gifted ruler from theodoric."
12653,Deryl,b,
12654,Deryn,g,"bird from the word aderyn,bird. from the word aderyn.."
12655,Des,u,"desire,diminutive of desmond: from a surname derived from the irish deas mumhain meaning south munster. also a diminutive of any name beginning with des.."
12656,Desarae,g,derived from desiree meaning the one desired.
12657,Desaree,g,derived from desiree meaning the one desired.
12658,Desdemona,g,of the devil
12659,Desean,b,
12660,Deshad,b,nation
12661,Deshal,b,"derived from deshad, nation."
12662,Deshan,b,"derived from deshad, nation."
12663,Deshaun,b,
12664,Deshawn,b,god is gracious
12665,Deshi,u,"moral.,gold golden"
12666,Desi,u,desire
12667,Desideria,g,"desired,desire."
12668,Desiderio,b,desire
12669,Desiderius,b,
12670,Desiderus,b,"yearning, sorrow"
12671,Desirae,g,derived from desiree meaning the one desired.
12672,Desirat,g,desired
12673,Desirata,g,desired
12674,Desire,u,"desired.,derived from french desiree."
12675,Desiree,g,desired
12676,Desma,g,"pledge, bond"
12677,Desmon,b,"man from south munster.,man from south munster"
12678,Desmona,g,unlucky
12679,Desmond,b,"from south munster.,one from s muenster,from a surname derived from the irish deas mumhain meaning south munster..,from south munster. an irish surname referring to munster: (one of ancient irelands five regions.).."
12680,Desmund,b,"from south munster. an irish surname referring to munster: (one of ancient irelands five regions.)..,variant of desmond: from south munster. famous bearer: archbishop desmond tutu (of south africa).."
12681,Desna,g,offering
12682,Despina,g,"young lady, miss"
12683,Dessa,g,roaming
12684,Dessie,u,
12685,Desta,u,happiness
12686,Destan,b,by the still waters a surname.
12687,Destanee,g,"certain fortune; fate. the mythological greek god of fate..,certain fortune, fate the mythological greek god of fate."
12688,Destany,g,
12689,Destin,b,destiny
12690,Destina,g,"certain fortune, fate"
12691,Destine,g,"certain fortune; fate. the mythological greek god of fate..,certain fortune, fate the mythological greek god of fate."
12692,Destinee,g,"destiny,certain fortune; fate. the mythological greek god of fate.."
12693,Destiney,g,
12694,Destini,g,"certain fortune, fate the mythological greek god of fate.,certain fortune; fate. the mythological greek god of fate.."
12695,Destinie,g,"certain fortune, fate the mythological greek god of fate.,certain fortune; fate. the mythological greek god of fate.."
12696,Destiny,g,"for which you were meant to do.,certain fortune; fate. the mythological greek god of fate.."
12697,Deston,b,destiny
12698,Destrey,b,"variation of destin, destiny, fate.,variant of a french surname. american classic western film destry rides again.."
12699,Destrie,b,variant of a french surname. american classic western film destry rides again..
12700,Destry,u,"war horse,variant of a french surname. american classic western film destry rides again.."
12701,Desyre,g,derived from french desiree.
12702,Detria,g,derived from demetria
12703,Deucalion,b,son of prometheus
12704,Deuel,g,the knowledge of god
12705,Deunoro,b,"all saints.,feast of all saints"
12706,Deutsch,b,a german
12707,Dev,b,"diminutive of devin: poet..,abbreviation of names beginning with dev-.,god, king,"
12708,Dev Kumar,b,son of god
12709,DevIyn,b,fierce.
12710,Deva,u,"divine one.,dignity"
12711,Devaapi,b,an ancient king
12712,Devabrata,b,a name of bhishma
12713,Devadas,b,"follower of god,follower of god; a famous bengali novel"
12714,Devadatt,b,gift of the god
12715,Devadeva,b,lord of all lords
12716,Devadut,b,given by devas
12717,Devadutt,b,gift from god
12718,Devagya,b,with knowledge of god
12719,Devaj,b,from god
12720,Devajuta,b,the one with the good
12721,Devajyoti,b,brightness of the lord
12722,Devak,b,"father of devaki,divine"
12723,Devakali,g,name of a indian music raagini
12724,Devakeenandan,b,name of lord krishna
12725,Devaki,g,"a god,mother of krishna,mother of lord krishna"
12726,Devakinandan,b,son of devakishri krishna
12727,Devakiri,g,name of a raagini
12728,Devakumar,b,"son of a god,son of god"
12729,Deval,b,"a brahmarshi,name of a saint"
12730,Devamatar,g,mother of the gods
12731,Devan,u,"divine.,servant.,writer of poetry,variant of the english county name devon.."
12732,Devana,g,"divine,divine."
12733,Devanand,b,"divine joy,joy of god"
12734,Devaney,g,dark-haired
12735,Devang,b,part of god
12736,Devangi,g,like a goddess
12737,Devani,g,
12738,Devanie,g,dark-haired poet
12739,Devank,b,godly
12740,Devanna,g,"divine,divine."
12741,Devansh,b,part of god
12742,Devansha,g,eternal part of god
12743,Devanshi,u,"angel,divine"
12744,Devante,b,fighter of wrong
12745,Devany,g,dark-haired
12746,Devapriya,u,"who is loved by devasgods chosen.,dear to the gods"
12747,Devaraj,b,indra
12748,Devarshi,b,sage of the gods
12749,Devarsi,b,"sage of the devas,sage of devas"
12750,Devasheesh,b,blessing of god
12751,Devashish,b,"blessing of god,blessing of the gods( debashish )"
12752,Devashree,g,goddess lakshmi
12753,Devashri,g,"goddess lakshmi, yagya, divine beauty"
12754,Devaughn,b,
12755,Devayani,g,daughter of shukra
12756,Devbrata,b,bhishma
12757,Devdarsh,b,worshipper of god
12758,Devdas,b,"servant of god,servant of lord , a servant of temple,follower of god; a famous bengali novel"
12759,Devdatta,b,given by god
12760,Devdutta,b,king.
12761,Deveedaas,b,servant of the god
12762,Deveeprasad,b,blessing of the goddess
12763,Deven,u,"like a god,variant of devin: poet.,variant of the english county name devon.."
12764,Devendar,b,king of lord`s
12765,Devendra,b,"indra,king of gods"
12766,Devendranath,b,lord of the king of gods
12767,Devenny,g,dark-haired
12768,Devent,g,bard
12769,Deveon,b,derived from the english county name devon.
12770,Devera,g,task
12771,Deveral,b,"surnames derived from place name deverel..,surnames derived from place name deverel."
12772,Devere,b,"derived from place-name deverel..,derived from place-name deverel."
12773,Devereau,b,"surnames derived from place name deverel.,surnames derived from place name deverel.."
12774,Devereaux,b,"surnames derived from place name deverel.,surnames derived from place name deverel.."
12775,Deverel,b,"place-name,place-name."
12776,Deverell,b,"from the river bank.,surnames derived from place name deverel..,surnames derived from place name deverel."
12777,Deverick,b,"derived from place-name deverel.,derived from place-name deverel.."
12778,Deverra,g,goddess of birthing
12779,Deverril,b,"from the river bank,from the river bank."
12780,Devery,u,"bee variant of deborah,derived from place-name deverel..,variant of deborah: bee. deborah was the biblical prophetess who summoned barak to battle against an army of invaders. after the battle she wrote a victory song which is part of the book of judges.."
12781,Devesh,b,"god of gods,lord shiva"
12782,Deveshi,g,goddess durga
12783,Deveshwar,b,lord shiva
12784,Devguru,b,teacher of gods ( brihaspati )
12785,Devi,u,"goddess of power,variant of deborah: bee. deborah was the biblical prophetess who summoned barak to battle against an army of invaders. after the battle she wrote a victory song which is part of the book of judges..,goddess,goddess; the diety"
12786,Devica,g,mother of krishna
12787,Devidaas,b,servant of the god
12788,Devidas,b,"servant of the goddess,servant (devotee) of godess,servant of the god"
12789,Devika,g,"mother of krishna,goddess"
12790,Devilaal,b,son of devi
12791,Devilal,b,son of godess
12792,Devin,u,"poet.,poet,divine; perfect.,servant."
12793,Devina,g,"divine one,like a goddess"
12794,Devinath,b,shiva
12795,Devindar,g,the king of gods
12796,Devinder,b,king of gods; lord indra
12797,Devinderpal,b,fostered by god
12798,Devine,b,bard
12799,Devinee,g,dark-haired
12800,Devion,b,derived from the english county name devon.
12801,Deviprasad,b,"gift of the goddess,gift of a godess,gift of godess,blessing of the goddess"
12802,Devipriya,b,loved by goddess
12803,Devishi,g,chief of the goddesses
12804,Devisser,b,fisherman.
12805,Deviyn,b,fierce
12806,Devjeet,b,god`s triumph
12807,Devkanya,g,divine damsel
12808,Devki,g,lord krishna's mother
12809,Devkinandan,b,"son of devki,son of devki;(lord krishna)"
12810,Devkumar,b,son of gods
12811,Devland,b,misfortune
12812,Devlen,b,"derived from devlin, brave."
12813,Devlin,b,"fierce.,brave, fierce"
12814,Devlon,b,misfortune
12815,Devlyn,b,misfortune
12816,Devmani,u,"jewel/gem from god,divine gift"
12817,Devna,g,godly
12818,Devnarayan,b,king
12819,Devnath,b,king of gods
12820,Devnet,g,bard
12821,Devon,u,"poet,variant of devin: poet."
12822,Devona,g,"divine one.,protector,divine."
12823,Devondra,g,"divine.,divine"
12824,Devonn,b,"variant of devin: poet.,derived from the english county name devon."
12825,Devonna,g,"divine,divine."
12826,Devonne,g,"divine,divine."
12827,Devonta,b,
12828,Devontae,b,
12829,Devonte,b,
12830,Devony,g,dark-haired
12831,Devora,g,"bee variant of deborah,variant of deborah: bee. deborah was the biblical prophetess who summoned barak to battle against an army of invaders. after the battle she wrote a victory song which is part of the book of judges.."
12832,Devorah,g,"honey bee,variant of deborah: bee. deborah was the biblical prophetess who summoned barak to battle against an army of invaders. after the battle she wrote a victory song which is part of the book of judges.."
12833,Devoria,g,"bee,variant of deborah: bee. deborah was the biblical prophetess who summoned barak to battle against an army of invaders. after the battle she wrote a victory song which is part of the book of judges.."
12834,Devorit,g,form of deborah
12835,Devoss,b,fox.
12836,Devota,g,devoted
12837,Devottham,b,best of all devas
12838,Devpad,b,divine feet
12839,Devpreet,b,love for god
12840,Devra,g,"bee variant of deborah,variant of deborah: bee. deborah was the biblical prophetess who summoned barak to battle against an army of invaders. after the battle she wrote a victory song which is part of the book of judges.."
12841,Devraaj,b,"king among gods, name of indra"
12842,Devraj,b,"ruler of the gods,king of gods ( lord indra)"
12843,Devrat,b,spiritual
12844,Devri,g,"bee variant of deborah,variant of deborah: bee. deborah was the biblical prophetess who summoned barak to battle against an army of invaders. after the battle she wrote a victory song which is part of the book of judges.."
12845,Devries,b,frisian.
12846,Devrim,u,revolution
12847,Devron,b,derived from the english county name devon.
12848,Devry,b,"derived from place-name deverel.,derived from place-name deverel.."
12849,Devsena,b,army of gods
12850,Devvrata,b,name of an ancient king
12851,Devyani,g,like a goddess
12852,Devyn,u,"poet.,divine,divine.,servant.,variant of devin: poet."
12853,Devyna,g,from devonshire
12854,Devynn,g,"divine,divine."
12855,Dewain,b,"song.,song"
12856,Dewansh,b,part of god
12857,Deward,b,
12858,Dewayne,b,"from the wagon maker,dark."
12859,Dewei,b,of great principle
12860,Dewey,u,"from the name david,the lords.,diminutive of david: cherished; beloved.."
12861,Dewi,b,"the beloved,variant of david: beloved or friend, from the hebrew. sixth century st david (or dewi) was patron saint of wales.."
12862,Dewitt,b,"white.,blond"
12863,Dex,g,flexible
12864,Dexter,b,"flexible,from a surname meaning dyer.."
12865,Dexton,b,derived from dexter right-handed.
12866,Dextra,g,flexible
12867,Deyanira,g,
12868,Deylin,b,"right handed right,rhyming variant of waylon - a historical blacksmith with supernatural powers.."
12869,Deysi,g,days eye a flower name
12870,Dezba,g,going to war
12871,Dezi,b,"yearning, sorrow abbreviation of desiderus."
12872,Dezirae,g,derived from desiree meaning the one desired.
12873,Deziree,g,derived from desiree meaning the one desired.
12874,Dezmond,b,"from south munster. an irish surname referring to munster: (one of ancient irelands five regions.)..,variant of desmond: from south munster. famous bearer: archbishop desmond tutu (of south africa).."
12875,Dezso,b,desired
12876,Dezydery,b,to desire
12877,Dezzie,g,
12878,Dh,b,
12879,Dhaamin,b,"responsible guarantor,one who stands surety for another; one who helps."
12880,Dhaara,g,"constant flow origin, sanskrit."
12881,Dhaigham,b,lion king of jungle
12882,Dhairya,b,patience
12883,Dhairyavanth,b,brave person
12884,Dhakiyah,g,"bright, intelligent."
12885,Dhameer,b,heart conscience
12886,Dhamir,b,"derived from dhameer, heart conscience."
12887,Dhana,g,wealthy
12888,Dhananad,b,pleasure of having wealth
12889,Dhananjay,b,"arjuna,one who wins wealth,one who wins wealth, lord arjun, lord vishnu."
12890,Dhanapati,b,lord of wealth
12891,Dhanaraj,b,king of wealth ( kuber )
12892,Dhanashri,g,name of a raagini
12893,Dhanesh,b,"lord of wealth,lord of wealth ( kuber, vishnu )"
12894,Dhanishta,g,name of a nakshatra
12895,Dhann,b,the blessed one
12896,Dhanna,g,wealthy
12897,Dhanraj,b,lord kuber
12898,Dhansukh,b,wealthy; happy
12899,Dhanush,b,the bow
12900,Dhanvant,b,"one who is rich.,wealthy"
12901,Dhanvantari,b,doctor of gods
12902,Dhanvanti,g,holding wealth
12903,Dhanvi,g,money
12904,Dhanvin,b,lord shiva
12905,Dhanvine,b,a name for lord rama
12906,Dhanya,u,"giver of wealth. lord vishnu,thankful; lucky"
12907,Dhanyata,g,"success fulfilment,success, fulfilment,success, fulfillment"
12908,Dhara,g,"constant flow,constant flow of liquid,constant flow; the earth"
12909,Dharam,b,"the righteous and religious person,the righteousand religious person"
12910,Dharamdeep,b,lamp of religion
12911,Dharamdev,b,god of faith
12912,Dharamjot,b,"light of righteousness and virtues,light ofrighteousness and virtues"
12913,Dharamjyot,b,light of righteousness and virtues
12914,Dharamleen,b,one absorbedin righteousness
12915,Dharamnishth,b,one who has faith in religion
12916,Dharampal,b,the supporter ofrighteousness
12917,Dharampreet,b,love of faith
12918,Dharamsheel,b,holy;religious; pious
12919,Dharamveer,b,"bravely upholding righteousness; brave in doing ones duty,bravelyupholding righteousness"
12920,Dharani,g,earth
12921,Dharanidhar,b,sheshnaag
12922,Dharesh,b,"king, lord of land"
12923,Dharini,g,earth
12924,Dharinipal,b,king
12925,Dharithri,b,earth
12926,Dharitree,b,the earth
12927,Dharitri,g,the earth
12928,Dharm-mitra,b,friend of religion
12929,Dharma,u,"ultimate law of all things.,law ( religious),religion, nature, law"
12930,Dharmadaas,b,servant of religion
12931,Dharmadev,b,"lord of law,lord of religion"
12932,Dharmakeerti,b,fame of religion
12933,Dharmaketu,b,who upholds the right way
12934,Dharmanand,b,"happy in following dharma,takes pleasure religion"
12935,Dharmaputra,b,yudhistra
12936,Dharmaraaj,b,king of religion
12937,Dharmaraj,b,eldest of pandavasmost righteous person.
12938,Dharmatej,b,radiance of righteousness
12939,Dharmaveer,b,protector of religion
12940,Dharmdeva,b,yudhistra
12941,Dharmender,b,lord of dharma
12942,Dharmendra,b,"righteousvirtuous man,king of religion,lord of religion"
12943,Dharmendu,b,light of religion
12944,Dharmesh,b,"lord of religion,master of religion"
12945,Dharmik,b,a name for lord ganesha
12946,Dharmista,g,
12947,Dharmpaal,b,protector of religion
12948,Dharmpal,b,the supporterof righteousness
12949,Dharnitha,g,earth
12950,Dharti,g,"the earth,earth"
12951,Dharuna,u,"a rishi,supporting"
12952,Dhatri,u,"a son of vishnu, lakshmi,a son of vishnu/lakshmi,earth,earth, goddess parvati"
12953,Dhaval,b,"white,fair complexioned"
12954,Dhavlen,b,"derived from dhaval, white."
12955,Dhavlesh,b,"derived from dhaval, white."
12956,Dheeksha,g,initiation
12957,Dheeman,b,intelligent
12958,Dheemant,b,"derived from dhimani, intelligent, smart.,wise; intelligent"
12959,Dheeptha,g,goddess lakshmi
12960,Dheer,b,tolerant
12961,Dheeraj,b,"bravery,patience, consolation"
12962,Dheerandra,b,"god of courage,lord of the brave; couragious"
12963,Dheerendra,b,lord of the brave; couragious
12964,DheivaChelvi,g,blessed girl
12965,DheivaNayagi,g,
12966,DheivaVadivu,g,with the likeness of god
12967,Dhenuka,b,a demon
12968,Dhiaa,b,light splendor
12969,Dhiaan,b,absorbed incontemplation
12970,Dhilan,b,
12971,Dhimani,b,"intelligent, smart"
12972,Dhimant,b,"derived from dhimani, intelligent, smart.,intelligent"
12973,Dhinushshini Devi,g,a name for goddess durga
12974,Dhir,b,wise
12975,Dhiraj,b,"patience,patience; consolation"
12976,Dhiren,b,"bold person,one who is strong,one who is strong, powerful"
12977,Dhirendra,b,"lord of the brave,lord of the brave; couragious"
12978,Dhirendra Dhirendro,b,
12979,Dhirendro,b,lord of courage
12980,Dhiya,b,"light, splendour."
12981,Dhiyaa',b,"light, splendour; brilliance."
12982,Dhlriti,g,"courage, morale"
12983,Dhoire,b,from the grove
12984,Dhriti,g,"courage morale,patience,courage, morale"
12985,Dhritiman,b,patient
12986,Dhrupad,b,lord krishna
12987,Dhruti,g,motion
12988,Dhruv,b,"pole star, unperturbed,the polar star"
12989,Dhruva,u,"was a prince and bhakta of god vishnu.,star"
12990,Dhruvi,g,firm
12991,Dhruvika,g,firmly fixed
12992,Dhuha,u,forenoon
12993,Dhul Fiqaar,b,the name of the prophet's sword
12994,Dhul Fiqar,b,name of the prophet's sword.
12995,Dhul-Fiqaar,b,name of prophet muhammads sword.
12996,Dhumavarna,b,the color of smoke
12997,Dhurjati,b,
12998,Dhurjatiprasad,b,
12999,Dhuti,g,
13000,Dhwani,g,melody; music
13001,Dhyana,g,meditation
13002,Dhyanesh,b,meditative
13003,Dhyaneshwar,b,lord of meditation
13004,Dhyuti,g,"full of splendor, lord krishna"
13005,Di,g,variation of desiree meaning the one desired.
13006,DiShawnna,g,beautiful
13007,Dia,g,day
13008,Diadumenian,b,
